.....sss..............                                                   [100%]
19 passed, 3 skipped in 4.94s
lines   cov%   module   (path)
    3   100%   fastapi.websockets   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/websockets.py)
   47   100%   fnmatch   (/root/.pyenv/versions/3.10.19/lib/python3.10/fnmatch.py)
   70   100%   fractions   (/root/.pyenv/versions/3.10.19/lib/python3.10/fractions.py)
   47   100%   functools   (/root/.pyenv/versions/3.10.19/lib/python3.10/functools.py)
   22   100%   genericpath   (/root/.pyenv/versions/3.10.19/lib/python3.10/genericpath.py)
   69   100%   gettext   (/root/.pyenv/versions/3.10.19/lib/python3.10/gettext.py)
   49   100%   hashlib   (/root/.pyenv/versions/3.10.19/lib/python3.10/hashlib.py)
   39   100%   hmac   (/root/.pyenv/versions/3.10.19/lib/python3.10/hmac.py)
   44   100%   html.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/html/__init__.py)
 2493   100%   html.entities   (/root/.pyenv/versions/3.10.19/lib/python3.10/html/entities.py)
   72   100%   http.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/http/__init__.py)
  316   100%   http.client   (/root/.pyenv/versions/3.10.19/lib/python3.10/http/client.py)
   84   100%   http.cookies   (/root/.pyenv/versions/3.10.19/lib/python3.10/http/cookies.py)
    8   100%   importlib.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/importlib/__init__.py)
  101   100%   importlib.metadata.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/importlib/metadata/__init__.py)
    3   100%   importlib.metadata._collections   (/root/.pyenv/versions/3.10.19/lib/python3.10/importlib/metadata/_collections.py)
    5   100%   importlib.metadata._functools   (/root/.pyenv/versions/3.10.19/lib/python3.10/importlib/metadata/_functools.py)
  253   100%   inspect   (/root/.pyenv/versions/3.10.19/lib/python3.10/inspect.py)
    2   100%   io   (/root/.pyenv/versions/3.10.19/lib/python3.10/io.py)
   22   100%   json.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/json/__init__.py)
    7   100%   json.decoder   (/root/.pyenv/versions/3.10.19/lib/python3.10/json/decoder.py)
   72   100%   json.encoder   (/root/.pyenv/versions/3.10.19/lib/python3.10/json/encoder.py)
